pool_pair
GALA|Unit|none|none/SILK|Unit|none|none/10000
$GMUSIC|Unit|none|none/GSWAP|Unit|none|none/10000
GALA|Unit|none|none/Token|Unit|WEN|client:604161f025e6931a676ccf37/10000
GUSDT|Unit|none|none/GWBTC|Unit|none|none/10000
GSOL|Unit|none|none/GWETH|Unit|none|none/10000
GUSDC|Unit|none|none/GWXRP|Unit|none|none/10000
ETIME|Unit|none|none/GALA|Unit|none|none/10000
GALA|Unit|none|none/GSWAP|Unit|none|none/10000
$GMUSIC|Unit|none|none/GALA|Unit|none|none/10000
FILM|Unit|none|none/SILK|Unit|none|none/10000
GALA|Unit|none|none/GUSDC|Unit|none|none/3000
GALA|Unit|none|none/GUSDC|Unit|none|none/500
GALA|Unit|none|none/GOSMI|Unit|none|none/10000
GALA|Unit|none|none/GUSDC|Unit|none|none/10000
GALA|Unit|none|none/SILK|Unit|none|none/500
ETIME|Unit|none|none/GALA|Unit|none|none/3000
GALA|Unit|none|none/GFARTCOIN|Unit|none|none/10000
GALA|Unit|none|none/Materium|Unit|none|none/10000
$GMUSIC|Unit|none|none/FILM|Unit|none|none/10000
GALA|Unit|none|none/GSHRAP|Unit|none|none/10000
FILM|Unit|none|none/GALA|Unit|none|none/10000
GALA|Unit|none|none/GUSDT|Unit|none|none/10000
GALA|Unit|none|none/GWETH|Unit|none|none/10000
GUSDT|Unit|none|none/GWBTC|Unit|none|none/3000
GALA|Unit|none|none/Token|Unit|HRBR|client:6501eebddfc1673847353ca3/10000
ETIME|Unit|none|none/GSWAP|Unit|none|none/10000
GUSDC|Unit|none|none/Token|Unit|WEN|client:604161f025e6931a676ccf37/10000
GALA|Unit|none|none/GTON|Unit|none|none/10000
$GMUSIC|Unit|none|none/Materium|Unit|none|none/10000
GFARTCOIN|Unit|none|none/GUSDC|Unit|none|none/10000
ETIME|Unit|none|none/SILK|Unit|none|none/500
GUSDC|Unit|none|none/GWETH|Unit|none|none/500
GUSDC|Unit|none|none/GWETH|Unit|none|none/10000
GALA|Unit|none|none/GWBTC|Unit|none|none/10000
GALA|Unit|none|none/GSOL|Unit|none|none/10000
GSWAP|Unit|none|none/SILK|Unit|none|none/10000
GWBTC|Unit|none|none/GWETH|Unit|none|none/10000
GALA|Unit|none|none/GWETH|Unit|none|none/3000
GSWAP|Unit|none|none/GUSDC|Unit|none|none/3000
GUSDC|Unit|none|none/GWXRP|Unit|none|none/3000
GUSDT|Unit|none|none/GWETH|Unit|none|none/10000
GSOL|Unit|none|none/GWETH|Unit|none|none/500
GSWAP|Unit|none|none/GUSDC|Unit|none|none/500
GALA|Unit|none|none/SILK|Unit|none|none/3000
GUSDC|Unit|none|none/SILK|Unit|none|none/10000
GUSDC|Unit|none|none/GUSDT|Unit|none|none/500
FILM|Unit|none|none/GALA|Unit|none|none/3000
ETIME|Unit|none|none/Materium|Unit|none|none/10000
GUSDC|Unit|none|none/GWBTC|Unit|none|none/10000
$GMUSIC|Unit|none|none/SILK|Unit|none|none/10000
ETIME|Unit|none|none/SILK|Unit|none|none/3000
Materium|Unit|none|none/SILK|Unit|none|none/10000
GALA|Unit|none|none/GTRUMP|Unit|none|none/10000
GSOL|Unit|none|none/GWBTC|Unit|none|none/10000
GUSDT|Unit|none|none/GWETH|Unit|none|none/3000
GUSDC|Unit|none|none/GWBTC|Unit|none|none/3000
ETIME|Unit|none|none/Token|Unit|HRBR|client:6501eebddfc1673847353ca3/10000
GALA|Unit|none|none/GWTRX|Unit|none|none/10000
ETIME|Unit|none|none/SILK|Unit|none|none/10000
GALA|Unit|none|none/Token|Unit|ROCK|eth:3Fd2EcAAA43f8661d6f8ABb583bA2b5D7AedDD69/10000
$GMUSIC|Unit|none|none/ETIME|Unit|none|none/10000
ETIME|Unit|none|none/FILM|Unit|none|none/10000
GUSDC|Unit|none|none/GUSDT|Unit|none|none/10000
GSWAP|Unit|none|none/GUSDC|Unit|none|none/10000
ETIME|Unit|none|none/Token|Unit|WEN|client:604161f025e6931a676ccf37/10000
GFARTCOIN|Unit|none|none/Token|Unit|WEN|client:604161f025e6931a676ccf37/10000
FILM|Unit|none|none/Materium|Unit|none|none/10000
FILM|Unit|none|none/GSWAP|Unit|none|none/10000
GSWAP|Unit|none|none/Materium|Unit|none|none/10000
GALA|Unit|none|none/GSWAP|Unit|none|none/500
